ISTACK,LATITUDE,LONGITUDE,STKDM,STKHT,STKTK,STKVE,STKFLW,STKCNT,ROW,COL,XLOCA,YLOCA,LMAJOR,LPING,IFIP,SO2,NOX,VOC,CO,PM25,PM10,NH3
149,36.44774321,105.7541274,2.62,98,234,5.67,3000,,,,,,,,51114,13.2306,4.1346,0.0176,0.8532,0.1527,0.2679,0.2679
150,36.44768987,106.130047,1.64,115,234,6.92,2300,,,,,,,,51114,2.8181,1.742,0.0075,0.3635,0.6693,1.1742,1.1742
151,36.44716618,106.3350921,3.28,98,203,4.72,3200,,,,,,,,51114,8.859,2.9041,0.0123,0.5972,0.1339,0.2348,0.2348
152,36.44704495,106.369266,2.62,164,187,19.21,3259,,,,,,,,51114,8.4643,7.2272,0.0988,4.7779,11.1151,19.5002,19.5002
153,36.44691403,106.4034398,4.59,131,189,0.74,2400,,,,,,,,51114,1.1522,0.3484,0.0026,0.128,0.076,0.1334,0.1334
154,36.47511666,105.6856942,6.56,164,189,1.37,2600,,,,,,,,51114,7.6517,2.4807,0.0106,0.5119,0.675,1.1841,1.1841
155,36.47517972,105.7198807,1.64,115,234,4.84,2300,,,,,,,,51114,7.2768,2.2735,0.0097,0.4693,0.8641,1.516,1.516
156,36.47517972,106.1301193,3.28,180,246,1.43,3400,,,,,,,,51114,0.5766,1.9085,0.2608,0.0058,0.0082,0.0143,0.0143
157,36.47465584,106.3352368,2.62,164,187,37.81,3259,,,,,,,,51114,132.3057,41.3455,0.1764,8.5319,70.7008,124.0366,124.0366
158,36.50260643,105.6856098,2.62,164,187,5.9,3259,,,,,,,,51114,22.492,7.0287,0.03,1.4504,12.0191,21.0862,21.0862
159,36.50266951,106.1301918,2.43,115,262,5.41,2800,,,,,,,,51114,3.473,8.2393,0.0352,1.7013,0.4503,0.79,0.79
160,36.50260643,106.1643902,6.56,164,203,0.83,2800,,,,,,,,51114,3.4267,1.4565,0.0127,0.6143,0.2869,0.5033,0.5033
161,36.50214545,106.3353817,2.62,164,187,112.07,3259,,,,,,,,51114,147.8714,61.5221,0.254,12.2859,101.7715,178.5465,178.5465
162,36.53009615,105.6855252,65.6,164,203,0,2800,,,,,,,,51114,1.5877,0.4961,0.0021,0.1024,0.0943,0.1654,0.1654
163,36.53015925,106.1302642,9.84,197,230,6.74,2800,,,,,,,,51114,210.9415,112.8325,1.843,89.1531,10.0788,17.6821,17.6821
164,36.53009615,106.1644748,2.43,115,262,8.02,2400,,,,,,,,51114,4.0508,0.86,0.025,1.2081,0.3277,0.575,0.575
165,36.52974665,106.3013164,2.62,164,187,151.24,3259,,,,,,,,51114,264.6113,82.691,0.3527,17.0638,141.4017,248.0731,248.0731
166,36.52963501,106.3355266,2.62,164,187,176.8,3259,,,,,,,,51114,329.9527,193.3316,0.8247,39.8951,330.5971,579.9949,579.9949
167,36.55751297,105.651218,2.43,115,262,7.08,3500,,,,,,,,51114,3.2084,1.9846,0.1018,0.3655,0.4412,0.774,0.774
168,36.55758581,105.6854406,6.56,164,189,0.99,2600,,,,,,,,51114,3.7046,3.473,0.0148,0.7167,0.6285,1.1025,1.1025
169,36.55764893,106.1303367,3.28,180,246,13.94,3400,,,,,,,,51114,3.8898,3.6472,0.0156,0.7525,1.3857,2.4311,2.4311
170,36.5571245,106.3356716,2.62,115,262,3.51,3700,,,,,,,,51114,14.3949,0.8765,0.0192,0.9283,0.0886,0.1555,0.1555
171,36.58482766,105.5826521,2.62,164,187,87.17,3259,,,,,,,,51114,32.9143,15.2427,0.4938,23.8893,6.5658,11.5189,11.5189
172,36.58491995,105.6168866,6.56,164,203,1.13,2800,,,,,,,,51114,6.763,3.1434,0.0353,1.7064,0.8688,1.5243,1.5243
173,36.58500253,105.6511213,3.28,98,237,15.18,3000,,,,,,,,51114,5.5987,18.5294,2.5321,0.056,0.7243,1.2707,1.2707
174,36.58513854,106.1304093,2.62,98,234,14.93,3400,,,,,,,,51114,1.1048,3.6549,0.4995,0.011,0.143,0.2508,0.2508
175,36.58461393,106.3358168,2.62,98,234,5.58,3400,,,,,,,,51114,0.3683,1.2183,0.1665,0.0037,0.0478,0.0838,0.0838
176,36.6119818,105.4797916,2.62,164,203,18.93,3000,,,,,,,,51114,15.6562,1.3561,0.4064,10.2426,0.3111,0.5458,0.5458
177,36.61210328,105.514038,6.56,164,203,4.89,2800,,,,,,,,51114,7.0177,1.7442,0.0021,0.1007,0.6888,1.2084,1.2084
178,36.61221504,105.5482845,2.62,164,187,33.77,3259,,,,,,,,51114,105.8445,33.0764,0.1411,6.8255,56.5607,99.2292,99.2292
179,36.61231709,105.582531,2.62,164,237,31.52,3200,,,,,,,,51114,29.5626,254.1327,17.417,0.385,2.0082,3.5232,3.5232
180,36.61262808,106.1304819,2.62,164,234,7.91,2000,,,,,,,,51114,8.655,101.4652,0.0714,3.452,0.7004,1.2288,1.2288
181,36.61210328,106.335962,2.62,164,187,7.34,2600,,,,,,,,51114,4.9251,1.3253,0.0071,0.3413,0.7356,1.2905,1.2905
182,36.6119818,106.3702084,2.62,164,187,5.93,2600,,,,,,,,51181,26.4611,12.3618,0.0988,4.7779,1.8495,3.2448,3.2448
183,36.63834817,105.2398284,2.62,164,187,0.54,2600,,,,,,,,51181,6.3507,1.4884,0.0063,0.3071,0,0,0
184,36.63853774,105.274086,3.28,115,230,37.89,2800,,,,,,,,51182,246.1988,70.563,4.1056,36.8276,20.299,35.6123,35.6123
185,36.63871759,105.3083436,3.28,115,230,80.12,2800,,,,,,,,51114,21.1689,23.6629,0.3257,5.124,3.7993,6.6654,6.6654
186,36.63888772,105.3426015,3.28,115,230,96.41,2800,,,,,,,,51114,6.838,1.3087,0.0176,0.8532,0,0,0
187,36.63919882,105.4111176,2.62,164,187,106.02,3259,,,,,,,,51114,53.3776,24.7191,0.6138,29.691,10.6479,18.6805,18.6805
188,36.63933978,105.4453758,2.62,164,187,177.47,3259,,,,,,,,51114,186.2059,90.2997,0.3249,15.7157,15.1507,26.5802,26.5802
189,36.63947103,105.4796342,2.62,164,234,1.51,2000,,,,,,,,51114,3.1753,0.9923,0.0042,0.2048,0.3771,0.6615,0.6615
190,36.63959255,105.5138927,2.62,164,187,53.82,3200,,,,,,,,51114,62.5475,61.478,0.5319,12.8208,3.7519,6.5822,6.5822
191,36.640171,106.0962956,2.62,164,187,302.49,3259,,,,,,,,51114,529.2226,165.3821,0.7055,34.1276,282.8033,496.1462,496.1462
192,36.64011753,106.1305546,3.28,180,246,8.15,3400,,,,,,,,51182,0.409,2.9383,1.5723,0.1098,0.153,0.2685,0.2685
193,36.63947103,106.3703658,2.62,164,187,3.04,2600,,,,,,,,51182,36.9331,9.698,0.1564,7.5678,5.6407,9.8959,9.8959
194,36.63933978,106.4046242,2.62,164,187,19.43,2600,,,,,,,,51182,103.2116,18.8866,0.2461,11.9054,25.4523,44.6532,44.6532
195,36.66583692,105.239586,2.43,115,262,1.71,3400,,,,,,,,51181,1.5347,1.4388,0.0061,0.2969,0.3281,0.5755,0.5755
196,36.66620647,105.3081255,2.62,164,187,91.96,3259,,,,,,,,51114,57.8738,26.8007,0.2462,11.9105,11.5443,20.2532,20.2532
197,36.66637666,105.3423954,2.62,115,221,29.54,8000,,,,,,,,51114,4.2999,4.6307,3.1447,0.0695,0.7856,1.3782,1.3782
198,36.66653712,105.3766655,4.92,197,230,2,2800,,,,,,,,51114,1.1268,0.5358,0.0204,0.9863,0.22,0.3859,0.3859
199,36.66668786,105.4109358,2.95,131,174,126.91,3700,,,,,,,,51114,9.8358,32.5516,4.4485,0.0983,1.2726,2.2327,2.2327
200,36.66708173,105.5137472,6.56,164,189,19.32,3900,,,,,,,,51114,0.4531,1.5017,0.2042,0.0045,0.0584,0.1025,0.1025
201,36.66719357,105.5480179,2.62,164,234,1.05,2000,,,,,,,,51114,3.6252,1.1334,0.0048,0.2338,0.4305,0.7552,0.7552
202,36.66729569,105.5822887,2.62,164,187,15.12,3259,,,,,,,,51114,31.7534,9.9229,0.0423,2.0477,16.9682,29.7688,29.7688
203,36.66766039,106.0963562,2.62,164,187,524.31,3259,,,,,,,,51114,123.0443,38.4513,0.164,7.9347,65.7518,115.354,115.354
204,36.66696017,106.3705234,2.62,164,187,30.54,3259,,,,,,,,51114,3.7046,28.9419,0.1235,5.9723,49.4906,86.8256,86.8256
205,36.66682888,106.4047939,2.62,164,187,33.76,3259,,,,,,,,51114,132.3057,41.3455,0.1764,8.5319,0,0,0
206,36.6946827,105.5478845,3.28,180,246,62.36,3400,,,,,,,,51181,65.9764,30.9264,0.1319,6.3819,2.3504,4.1235,4.1235
207,36.69478485,105.5821674,3.28,180,246,0.48,3400,,,,,,,,51181,1.2371,0.4708,0.0009,0.0444,0.1433,0.2514,0.2514
208,36.69519346,106.0621335,2.62,164,234,25.54,2000,,,,,,,,51114,30.9397,7.5679,0.1476,7.1412,2.1179,3.7156,3.7156
209,36.69514968,106.0964168,2.62,164,187,21.07,3259,,,,,,,,51114,30.8912,8.5039,0.1023,4.9485,14.3325,25.1447,25.1447
210,36.69457082,106.3363983,2.62,164,187,25.59,2300,,,,,,,,51114,3.8898,0.4234,0.0053,0.256,0.7648,1.3418,1.3418
211,36.69444922,106.370681,2.43,115,262,6.7,3400,,,,,,,,51114,0.7266,4.1599,0.5498,0.0122,0.1094,0.1918,0.1918
212,36.72217173,105.547751,2.62,164,187,7.52,3400,,,,,,,,51114,13.2306,4.4014,0.0176,0.8532,0.258,0.4526,0.4526
213,36.72268266,106.0621821,2.62,164,187,5.22,3259,,,,,,,,51114,40.6002,25.535,0.0459,2.2183,17.212,30.1966,30.1966
214,36.72205981,106.336544,2.62,164,187,14.73,2600,,,,,,,,51181,52.9223,24.8073,0.1058,5.1191,4.9019,8.5999,8.5999
215,36.74954869,105.5133103,2.62,164,187,76.59,3259,,,,,,,,51181,93.087,0,0.0007,0.0341,4.2986,7.5414,7.5414
216,36.74966065,105.5476174,3.28,180,246,6.48,3400,,,,,,,,51181,1.9967,0.1852,0.008,0.3856,0.1006,0.1764,0.1764
217,36.75020584,106.027923,2.62,164,187,40.35,3259,,,,,,,,51181,74.3392,0,0.0008,0.0375,1.0479,1.8385,1.8385
218,36.75017176,106.0622306,2.62,164,187,5.04,2800,,,,,,,,51114,7.0563,3.5734,0.0176,0.8532,0.1609,0.2823,0.2823
219,36.74954869,106.3366897,2.62,164,187,302.49,3259,,,,,,,,51114,529.2226,165.3821,0.1058,5.1191,282.8033,496.1462,496.1462
220,36.77703746,105.5131644,2.62,164,187,7.3,3400,,,,,,,,51114,0.2382,1.3407,0.1979,0.0044,0,0,0
221,36.77769484,106.0279595,2.62,164,234,54.61,2800,,,,,,,,51181,23.815,1.9372,0.1591,7.6958,7.4208,13.0189,13.0189
222,36.77703746,106.3368356,2.62,164,237,7.7,3200,,,,,,,,51181,9.1732,8.5999,0.0367,1.7746,0.4902,0.86,0.86
223,36.77691573,106.3711547,3.28,180,246,2.92,3400,,,,,,,,51181,1.3561,0.2481,0.0011,0.0512,0.0566,0.0992,0.0992
224,36.80398055,105.3756939,3.28,115,230,5.24,2800,,,,,,,,51114,1.3925,0.7751,0,0,0.3026,0.5309,0.5309
225,36.80413155,105.4100248,2.62,164,187,6.23,3259,,,,,,,,51114,6.6153,1.9295,0.0088,0.4266,4.5563,7.9935,7.9935
226,36.80427281,105.4443559,2.62,164,234,16.52,2000,,,,,,,,51114,4.4664,5.5458,0.6692,0.0148,0.1914,0.3357,0.3357
227,36.80440433,105.4786872,2.62,164,234,4.67,3400,,,,,,,,51114,0.0243,0,0.0094,0.0002,0,0,0
228,36.80452611,105.5130185,2.62,115,262,47.3,2600,,,,,,,,51114,84.6756,33.0764,0.1411,6.8255,0.8726,1.5309,1.5309
229,36.80518372,106.027996,2.62,164,187,219.79,3259,,,,,,,,51114,24.4512,11.3232,0.0825,3.9929,4.8774,8.5569,8.5569
230,36.80440433,106.3713128,2.62,164,187,2.46,2800,,,,,,,,51114,5.2922,4.9615,0.0212,1.0238,0.3431,0.602,0.602
231,36.83130808,105.3411561,2.62,164,187,7.95,2400,,,,,,,,51114,28.2814,11.0475,0.0471,2.2797,20.9903,36.8251,36.8251
232,36.83146888,105.3754991,2.62,164,237,15.2,3200,,,,,,,,51114,1.9647,4.3661,1.0587,0.0234,0.9769,1.7139,1.7139
233,36.83161994,105.4098423,2.62,164,187,150.26,3259,,,,,,,,51114,78.8321,26.1304,0.1058,5.1191,42.6782,74.874,74.874
234,36.83176125,105.4441855,2.62,164,237,28.05,3200,,,,,,,,51114,5.4179,4.344,0.5529,0.0122,0.4616,0.8098,0.8098
235,36.83269684,105.9936883,3.28,115,230,6.59,2800,,,,,,,,51114,10.3728,8.6826,0.0373,1.7925,0.2193,0.3848,0.3848
236,36.83267247,106.0280325,2.62,164,187,151.24,3259,,,,,,,,51114,529.2226,165.3821,0.7055,34.1276,282.8033,496.1462,496.1462
237,36.83189282,106.3714711,2.62,164,187,80.62,3259,,,,,,,,51114,40.5881,18.7962,0.4681,22.6453,8.0963,14.2041,14.2041
238,36.85862562,105.306594,3.28,115,230,8.65,2800,,,,,,,,51115,3.4399,1.9846,0.0353,1.7064,0.2388,0.419,0.419
239,36.85879622,105.3409491,3.28,164,187,2.92,2600,,,,,,,,51115,0.0066,1.7123,0.2608,0.0058,0,0,0
240,36.86018547,105.9937127,2.62,115,221,5.6,8000,,,,,,,,51115,3.0563,1.5347,0.0106,0.5119,0.083,0.1455,0.1455
241,36.85938117,106.3716294,2.62,115,221,5.44,8000,,,,,,,,51115,0.0055,1.3616,0.2073,0.0046,0,0,0
242,36.88593314,105.2720076,5.9,98,172,56.32,2600,,,,,,,,51115,556.5614,411.4397,3.2546,156.987,15.5001,27.1932,27.1932
243,36.88611356,105.3063746,2.62,164,234,40.83,2000,,,,,,,,51115,75.3679,28.2131,0.5217,22.5033,2.5185,4.4185,4.4185
244,36.88768859,105.9593685,2.62,164,234,3.09,3000,,,,,,,,51115,2.9989,2.279,0.0346,1.674,0.2442,0.4283,0.4283
245,36.88767396,105.9937371,2.62,164,234,10.85,2000,,,,,,,,51115,0.0132,3.2591,0.4964,0.011,0,0,0
246,36.88686938,106.3717879,2.62,164,234,18.44,2000,,,,,,,,51115,0.043,10.3353,1.5739,0.0348,0,0,0
247,36.91342088,105.2717758,3.28,164,187,3.15,2600,,,,,,,,51115,2.1169,4.9615,0.0212,1.0238,0.4713,0.8269,0.8269
248,36.91518182,105.925,3.28,164,187,4.7,2600,,,,,,,,51115,0.0176,4.4146,0.6723,0.0149,0,0,0
249,36.91517694,105.9593807,3.28,164,187,0.94,2600,,,,,,,,51115,1.4995,1.1389,0.0141,0.6826,0.1219,0.2139,0.2139
250,36.91435744,106.3719465,3.28,164,187,3.17,2800,,,,,,,,51115,0.0055,1.2382,0.1885,0.0042,0,0,0
251,36.94090847,105.2715439,2.62,164,234,18.46,700,,,,,,,,51115,0.0187,4.6208,0.7037,0.0156,0,0,0
252,36.94266514,105.8906071,3.28,180,246,0.45,3400,,,,,,,,51181,9.3717,2.2073,0.0094,0.4556,0.839,1.4719,1.4719
253,36.94267002,105.925,2.62,164,234,2.23,2000,,,,,,,,51114,3.7354,1.4962,0.0063,0.3071,0.5687,0.9978,0.9978
254,36.94184536,106.3721051,3.28,164,187,5.94,3400,,,,,,,,51114,0.4024,1.333,0.1822,0.004,0.0522,0.0915,0.0915
255,36.9683959,105.2713118,3.28,164,187,116.15,3259,,,,,,,,51114,317.5336,99.2292,0.4233,20.4765,169.682,297.6877,297.6877
256,36.97015319,105.8905948,3.28,115,230,4.25,2800,,,,,,,,51114,11.7399,4.1919,0.0176,0.8532,0.1483,0.2602,0.2602
257,36.96933312,106.3722639,3.28,180,246,18.2,3400,,,,,,,,51114,2.9934,9.9075,1.354,0.0299,0.3874,0.6797,0.6797
258,36.96920132,106.4066683,3.28,115,230,186.88,2800,,,,,,,,51114,2.8446,7.6737,0.0317,1.5357,0.5273,0.925,0.925
259,36.99588317,105.2710796,5.9,98,172,1.43,2600,,,,,,,,51115,0.0055,1.2382,0.1885,0.0042,0,0,0
260,36.99762642,105.8561652,2.62,115,221,9.72,8000,,,,,,,,51115,1.1698,0.6748,0.012,0.5819,0.0811,0.1422,0.1422
261,36.99764107,105.8905826,2.62,164,234,4.34,2000,,,,,,,,51115,1.204,0.6946,0.0124,0.5989,0.0836,0.1466,0.1466
262,36.99668887,106.4068394,2.62,164,234,2.42,2000,,,,,,,,51181,12.5911,0,0.0282,1.3651,0,0,0
263,37.02337026,105.2708472,2.62,148,234,0.28,200,,,,,,,,51181,3.5282,0.8269,0.0035,0.1706,0.1257,0.2205,0.2205
264,37.0250897,105.8217112,2.62,164,234,61.81,2000,,,,,,,,51115,0.0077,1.8567,0.2827,0.0063,0,0,0
265,37.02511412,105.8561408,2.43,115,262,1.33,3400,,,,,,,,51181,7.4973,6.6153,0.0148,0.7167,0.6564,1.1516,1.1516
266,37.02417624,106.4070107,3.28,164,187,3.67,3900,,,,,,,,51181,1.4554,0.6814,0.0029,0.1399,0.2822,0.495,0.495
267,37.02403459,106.4414394,2.62,148,234,0.25,200,,,,,,,,51181,17.6408,8.2691,0.0035,0.1706,1.2569,2.2051,2.2051
268,37.05085718,105.2706146,3.28,164,187,27.52,3259,,,,,,,,51181,134.6872,0,0.0008,0.041,6.2217,10.9152,10.9152
269,37.05257722,105.8216745,2.62,115,221,116.9,8000,,,,,,,,51115,0.0088,2.1456,0.3267,0.0072,0,0,0
270,37.05152174,106.441623,2.62,115,221,2.18,8000,,,,,,,,51115,1.1312,1.0518,0.0099,0.4778,0.0603,0.1058,0.1058
271,37.07815328,105.2359294,2.62,164,237,7.7,3200,,,,,,,,51181,9.1732,8.5999,0.0367,1.7746,0.4902,0.86,0.86
272,37.07834392,105.2703819,2.43,115,262,13.74,9500,,,,,,,,51181,21.0421,3.387,0.0388,1.877,0.6756,1.1852,1.1852
273,37.08006455,105.8216377,3.28,98,203,749.39,3200,,,,,,,,51181,118.7113,31.0091,1.358,65.6955,2.7558,4.8347,4.8347
274,37.0790087,106.4418067,3.28,115,230,17.7,2000,,,,,,,,51181,56.8032,38.0379,0.1623,7.8493,9.4089,16.5068,16.5068
275,37.10563976,105.2356843,2.95,131,174,0.58,3400,,,,,,,,51181,0.6814,1.5943,0,0,0.0317,0.0557,0.0557
276,37.10583047,105.270149,3.28,164,187,11.21,3259,,,,,,,,51181,43.361,0,0.0023,0.1109,1.9796,3.473,3.473
277,37.10751747,105.7871346,3.28,164,187,141.24,3259,,,,,,,,51181,195.6007,0,0.0002,0.0085,2.011,3.5282,3.5282
278,37.1075517,105.8216009,2.62,115,221,0.38,8000,,,,,,,,51181,1.1466,1.075,0.014,0.222,0.2451,0.43,0.43
279,37.10649548,106.4419906,3.28,164,187,11.59,3259,,,,,,,,51181,34.2385,0,0,0.0017,0.4839,0.849,0.849
280,37.13331682,105.2699159,3.28,164,187,51.09,3259,,,,,,,,51181,137.5317,0,0,0,6.3631,11.1633,11.1633
281,37.13496038,105.752607,3.28,164,187,128.6,3259,,,,,,,,51181,201.819,0,0.0004,0.0205,9.3325,16.3728,16.3728
282,37.13500441,105.7870855,3.28,180,246,47.8,3400,,,,,,,,51181,95.2601,37.5087,0.1905,9.2144,2.5452,4.4653,4.4653
283,37.13398207,106.4421746,3.28,164,187,24.09,3259,,,,,,,,51181,39.921,0,0.0074,0.3583,1.6717,2.9328,2.9328
284,37.16080296,105.2696827,3.28,115,230,32.94,2800,,,,,,,,51181,33.7379,31.0091,0.1323,6.3989,7.0701,12.4037,12.4037
285,37.16244711,105.7525456,3.94,148,239,0.97,3600,,,,,,,,51181,1.7641,0.8269,0.0035,0.1706,0.1885,0.3308,0.3308
286,37.16249115,105.7870364,3.28,98,203,3960.78,3200,,,,,,,,51181,176.4075,2889.2976,11.9246,576.8547,0,0,0
287,37.16146845,106.4423588,2.62,164,234,0.23,2000,,,,,,,,51183,0,2.2062,0.3016,0.0067,0,0,0
288,37.1882889,105.2694493,2.62,164,234,1.88,200,,,,,,,,51184,3.387,1.9846,0.0085,0.4095,0.7541,1.3231,1.3231
289,37.18997767,105.7869873,2.62,164,234,7.92,2000,,,,,,,,51184,12.7013,7.4422,0.0317,1.5357,2.828,4.9615,4.9615
290,37.18895462,106.442543,2.62,164,234,7.5,200,,,,,,,,51184,3.387,1.9846,0.0085,0.4095,0.7541,1.3231,1.3231
291,37.18880287,106.4770452,3.28,164,187,0.3,3259,,,,,,,,51183,2.4697,1.6538,0.0071,0.3413,0.2545,0.4465,0.4465
292,37.21558366,105.2347019,3.28,164,187,5.76,3259,,,,,,,,51184,64.918,38.0379,0.1623,7.8493,0,0,0
293,37.21577463,105.2692157,3.28,164,187,3.46,3100,,,,,,,,51184,4.3749,2.5634,0.0109,0.529,0.9741,1.7089,1.7089
294,37.21746399,105.7869381,3.28,115,230,6.02,2800,,,,,,,,51181,1.3098,1.2404,0.0053,0.256,0.2941,0.516,0.516
295,37.21628878,106.4772419,2.43,115,262,0.78,3000,,,,,,,,51181,2.4697,2.3153,0.0099,0.4778,0.1181,0.2073,0.2073
296,37.24286827,105.1999299,3.28,115,230,0.33,2800,,,,,,,,51181,1.3583,1.6538,0.0071,0.3413,0.4091,0.7178,0.7178
